industry_name,number_of_tickers,number_of_usable_tickers,first_date,last_date,median_number_of_observations,news_coverage_macro,news_coverage_sector,news_coverage_company,eligible_for_sector_graph
,29,29,2019-01-01,2023-12-29,1304.0,0.9930970633214963,0.9686618043449883,0.405809244856173,True
Automobiles & Components,1,1,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.99079754601227,0.7684049079754601,False
Capital Goods,8,8,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9670245398773006,0.35525306748466257,True
Consumer Services,7,7,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.99079754601227,0.43613058720420683,True
Consumer Staples Distribution & Retail,2,2,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.8857361963190185,0.683282208588957,True
Energy,3,3,2019-01-01,2023-12-29,1304.0,0.993096393881039,0.9884939898017318,0.44382477435272066,True
Financial Services,12,12,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9869631901840491,0.32413087934560325,True
"Food, Beverage & Tobacco",1,1,2019-01-01,2023-12-29,1303.0,0.9930928626247122,0.8856485034535687,0.375287797390637,False
Healthcare Equipment & Services,6,6,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9877300613496932,0.2661042944785276,True
Household & Personal Products,1,1,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.8857361963190185,0.35506134969325154,False
Materials,1,1,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.977760736196319,0.09202453987730061,False
Media & Entertainment,4,4,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9095092024539877,0.817292944785276,True
"Pharmaceuticals, Biotechnology & Life Sciences",2,2,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9877300613496932,0.24693251533742333,True
Semiconductors & Semiconductor Equipment,11,11,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9877300613496932,0.3844813162297825,True
Technology Hardware & Equipment,4,4,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9877300613496932,0.356978527607362,True
Telecommunication Services,3,3,2019-01-01,2023-12-29,1304.0,0.993096393881039,0.9094860531069563,0.5837923966558217,True
Transportation,1,1,2019-01-01,2023-12-29,1303.0,0.9930928626247122,0.9669992325402916,0.25863392171910976,False
UNRESOLVED,4,0,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9848542944785276,0.34279141104294475,False
