ticker,has_macro,has_sector,has_target_company,has_related_company,has_filing
AAPL,0.9930981595092024,0.9877300613496932,0.8803680981595092,0.9930981595092024,1.0
ABBV,0.9930981595092024,0.9877300613496932,0.566717791411043,0.9930981595092024,1.0
ABT,0.9930981595092024,0.9877300613496932,0.4493865030674847,0.9930981595092024,1.0
ACN,0.9930981595092024,0.9877300613496932,0.2745398773006135,0.9930981595092024,1.0
ADBE,0.9930981595092024,0.9877300613496932,0.4386503067484663,0.9930981595092024,1.0
ADI,0.9930981595092024,0.9877300613496932,0.19325153374233128,0.9930981595092024,1.0
AMAT,0.9930981595092024,0.9877300613496932,0.13803680981595093,0.9930981595092024,1.0
AMD,0.9930981595092024,0.9877300613496932,0.6503067484662577,0.9930981595092024,1.0
AMGN,0.9930981595092024,0.9877300613496932,0.2983128834355828,0.9930981595092024,1.0
AMZN,0.9930981595092024,0.99079754601227,0.8949386503067485,0.9930981595092024,1.0
ANET,0.9930981595092024,0.9877300613496932,0.19095092024539878,0.9930981595092024,1.0
APH,0.9930981595092024,0.9877300613496932,0.0299079754601227,0.9930981595092024,1.0
AVGO,0.9930981595092024,0.9877300613496932,0.27070552147239263,0.9930981595092024,1.0
AXP,0.9930981595092024,0.9869631901840491,0.26380368098159507,0.9930981595092024,1.0
BA,0.9930981595092024,0.9670245398773006,0.6909509202453987,0.9923312883435583,1.0
BABA,0.9930981595092024,0.99079754601227,0.6955521472392638,0.9930981595092024,1.0
BAC,0.9930981595092024,0.9869631901840491,0.4340490797546012,0.9930981595092024,1.0
BKNG,0.9930981595092024,0.99079754601227,0.2791411042944785,0.9930981595092024,1.0
BLK,0.9930981595092024,0.9869631901840491,0.3458588957055215,0.9930981595092024,1.0
BN,0.9930981595092024,0.9869631901840491,0.19401840490797545,0.9930981595092024,1.0
BRK,0.9930981595092024,0.9869631901840491,0.7315950920245399,0.9930981595092024,1.0
BSX,0.9930981595092024,0.9877300613496932,0.2062883435582822,0.9930981595092024,1.0
BX,0.9930981595092024,0.9869631901840491,0.34355828220858897,0.9930981595092024,1.0
C,0.9930928626247122,0.9869531849577897,0.40752110514198003,0.9930928626247122,1.0
CAT,0.9930981595092024,0.9670245398773006,0.34355828220858897,0.9930981595092024,1.0
CB,0.9930981595092024,0.9869631901840491,0.13650306748466257,0.9930981595092024,1.0
COF,0.9930981595092024,0.9869631901840491,0.20782208588957055,0.9923312883435583,1.0
COP,0.9930928626247122,0.9884881043745203,0.24251726784343822,0.9930928626247122,1.0
COST,0.9930981595092024,0.8857361963190185,0.6549079754601227,0.9930981595092024,1.0
CRM,0.9930981595092024,0.9877300613496932,0.5184049079754601,0.9930981595092024,1.0
CSCO,0.9930981595092024,0.9877300613496932,0.3266871165644172,0.9930981595092024,1.0
CVX,0.9930981595092024,0.9884969325153374,0.49693251533742333,0.9930981595092024,1.0
DE,0.9930981595092024,0.9670245398773006,0.26533742331288346,0.9930981595092024,1.0
DHR,0.9930981595092024,0.9877300613496932,0.21855828220858894,0.9923312883435583,1.0
DIS,0.9930981595092024,0.9095092024539877,0.9156441717791411,0.9930981595092024,1.0
ETN,0.9930981595092024,0.9670245398773006,0.13496932515337423,0.9930981595092024,1.0
GE,0.9930981595092024,0.9670245398773006,0.6019938650306749,0.9930981595092024,1.0
GILD,0.9930981595092024,0.9877300613496932,0.5130368098159509,0.9930981595092024,1.0
GOOGL,0.9930981595092024,0.9095092024539877,0.8680981595092024,0.9930981595092024,1.0
GS,0.9930981595092024,0.9869631901840491,0.656441717791411,0.9930981595092024,1.0
HD,0.9930981595092024,0.99079754601227,0.30368098159509205,0.9930981595092024,1.0
HON,0.9930981595092024,0.9670245398773006,0.19861963190184048,0.9930981595092024,1.0
IBKR,0.9930981595092024,0.9869631901840491,0.0843558282208589,0.9930981595092024,1.0
IBM,0.9930981595092024,0.9877300613496932,0.33358895705521474,0.9930981595092024,1.0
INTC,0.9930981595092024,0.9877300613496932,0.7615030674846626,0.9930981595092024,1.0
INTU,0.9930981595092024,0.9877300613496932,0.1464723926380368,0.9930981595092024,1.0
ISRG,0.9930981595092024,0.9877300613496932,0.2714723926380368,0.9930981595092024,1.0
JNJ,0.9930928626247122,0.9877206446661551,0.5341519570222564,0.9930928626247122,1.0
JPM,0.9930928626247122,0.9869531849577897,0.5042210283960092,0.9930928626247122,1.0
KKR,0.9930981595092024,0.9869631901840491,0.23696319018404907,0.9930981595092024,1.0
KLAC,0.9930981595092024,0.9877300613496932,0.049079754601226995,0.9930981595092024,1.0
KO,0.9930981595092024,0.8857361963190185,0.6303680981595092,0.9930981595092024,1.0
LIN,0.9930981595092024,0.977760736196319,0.09202453987730061,0.9923312883435583,1.0
LLY,0.9930981595092024,0.9877300613496932,0.40337423312883436,0.9930981595092024,1.0
LMT,0.9930981595092024,0.9670245398773006,0.3450920245398773,0.9930981595092024,1.0
LOW,0.9930981595092024,0.99079754601227,0.2361963190184049,0.9930981595092024,1.0
LRCX,0.9930981595092024,0.9877300613496932,0.10276073619631902,0.9930981595092024,1.0
MA,0.9930981595092024,0.9869631901840491,0.36579754601226994,0.9930981595092024,1.0
MCD,0.9930981595092024,0.99079754601227,0.4754601226993865,0.9930981595092024,1.0
MDT,0.9930981595092024,0.9877300613496932,0.21242331288343558,0.9930981595092024,1.0
META,0.9930981595092024,0.9095092024539877,0.7561349693251533,0.9930981595092024,1.0
MRK,0.9930981595092024,0.9877300613496932,0.5782208588957055,0.9930981595092024,1.0
MS,0.9930981595092024,0.9869631901840491,0.4532208588957055,0.9930981595092024,1.0
MSFT,0.9930981595092024,0.9877300613496932,0.7837423312883436,0.9930981595092024,1.0
MU,0.9930981595092024,0.9877300613496932,0.5015337423312883,0.9930981595092024,1.0
NEE,0.9930981595092024,0.8634969325153374,0.4378834355828221,0.9930981595092024,1.0
NEM,0.9930928626247122,0.977743668457406,0.26477359938603223,0.9930928626247122,1.0
NFLX,0.9930981595092024,0.9095092024539877,0.7292944785276073,0.9930981595092024,1.0
NOW,0.9930981595092024,0.9877300613496932,0.23696319018404907,0.9923312883435583,1.0
NVDA,0.9930981595092024,0.9877300613496932,0.7354294478527608,0.9930981595092024,1.0
ORCL,0.9930981595092024,0.9877300613496932,0.3289877300613497,0.9930981595092024,1.0
PANW,0.9930981595092024,0.9877300613496932,0.3236196319018405,0.9930981595092024,1.0
PDD,0.9930981595092024,0.99079754601227,0.20782208588957055,0.9915644171779141,1.0
PEP,0.9930981595092024,0.8857361963190185,0.47392638036809814,0.9930981595092024,1.0
PFE,0.9930875576036866,0.9877112135176651,0.6858678955453149,0.9930875576036866,1.0
PG,0.9930981595092024,0.8857361963190185,0.35506134969325154,0.9930981595092024,1.0
PGR,0.9930981595092024,0.9869631901840491,0.2661042944785276,0.9930981595092024,1.0
PLD,0.9930981595092024,0.8811349693251533,0.20015337423312884,0.9930981595092024,1.0
PM,0.9930928626247122,0.8856485034535687,0.375287797390637,0.9930928626247122,1.0
QCOM,0.9930981595092024,0.9877300613496932,0.5283742331288344,0.9930981595092024,1.0
RTX,0.9930981595092024,0.9670245398773006,0.26150306748466257,0.9930981595092024,1.0
SCCO,0.9930981595092024,0.977760736196319,0.11196319018404909,0.9930981595092024,1.0
SCHW,0.9930981595092024,0.9869631901840491,0.19171779141104295,0.9930981595092024,1.0
SHOP,0.9930981595092024,0.9877300613496932,0.4455521472392638,0.9930981595092024,1.0
SPGI,0.9930981595092024,0.9869631901840491,0.18404907975460122,0.9930981595092024,1.0
SYK,0.9930981595092024,0.9877300613496932,0.14340490797546013,0.9930981595092024,1.0
T,0.9930928626247122,0.9094397544128934,0.7958557175748273,0.9930928626247122,1.0
TJX,0.9930981595092024,0.99079754601227,0.2392638036809816,0.9930981595092024,1.0
TMO,0.9930981595092024,0.9877300613496932,0.2753067484662577,0.9930981595092024,1.0
TMUS,0.9930981595092024,0.9095092024539877,0.4647239263803681,0.9930981595092024,1.0
TSLA,0.9930981595092024,0.99079754601227,0.7684049079754601,0.9923312883435583,1.0
TXN,0.9930981595092024,0.9877300613496932,0.2983128834355828,0.9930981595092024,1.0
UNH,0.9930981595092024,0.9877300613496932,0.3136503067484663,0.9930981595092024,1.0
UNP,0.9930928626247122,0.9669992325402916,0.25863392171910976,0.9930928626247122,1.0
V,0.9930981595092024,0.9869631901840491,0.5559815950920245,0.9930981595092024,1.0
VZ,0.9930981595092024,0.9095092024539877,0.49079754601226994,0.9930981595092024,1.0
WELL,0.9930981595092024,0.8811349693251533,0.13650306748466257,0.9930981595092024,1.0
WFC,0.9930981595092024,0.9869631901840491,0.5207055214723927,0.9930981595092024,1.0
WMT,0.9930981595092024,0.8857361963190185,0.7116564417177914,0.9930981595092024,1.0
XOM,0.9930981595092024,0.9884969325153374,0.5920245398773006,0.9930981595092024,1.0
